,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Alachua,38.8,39.5,41.1,42.0,41.7,43.3,43.0,41.4,40.95,41.5
Baker,32.8,34.0,33.9,37.5,38.0,37.7,35.8,37.4,33.86,34.5
Bay,33.6,35.0,36.0,36.5,36.6,35.6,35.9,33.6,32.2,31.2
Bradford,41.4,39.2,39.5,38.1,40.3,45.6,46.4,46.7,44.62,41.7
Brevard,30.2,31.5,33.0,33.6,33.6,33.7,33.3,31.6,30.06,28.8
Broward,32.8,33.4,34.5,35.1,35.5,35.4,35.0,33.7,32.68,31.0
Calhoun,36.6,38.5,44.5,43.5,47.6,51.7,52.2,52.4,52.61,49.2
Charlotte,31.6,32.2,33.6,34.0,34.1,33.6,33.0,31.7,30.47,28.9
Citrus,38.7,40.0,39.8,40.6,40.2,39.6,38.7,38.3,38.21,36.7
Clay,26.7,27.0,26.9,27.6,28.3,27.8,27.5,27.0,25.89,23.8
Collier,29.7,30.9,31.2,32.5,34.2,35.0,34.7,34.6,32.95,29.7
Columbia,38.0,39.0,38.9,40.4,41.2,43.5,45.1,46.7,43.96,43.3
Miami-Dade,40.9,42.1,43.1,44.2,44.8,44.9,44.5,43.3,41.77,40.7
DeSoto,55.7,56.2,56.3,56.3,55.6,55.5,57.0,53.9,53.76,52.0
Dixie,46.6,47.5,47.3,51.2,48.1,47.7,47.0,46.3,43.18,46.7
Duval,34.0,35.1,35.7,36.6,37.5,37.7,36.6,35.3,33.52,32.2
Escambia,34.4,34.0,34.3,34.7,35.9,37.0,38.4,38.3,37.56,37.2
Flagler,34.4,33.4,34.8,34.5,35.7,35.7,36.9,35.1,33.11,31.1
Franklin,41.1,42.3,40.0,37.3,36.1,42.2,40.0,39.5,44.73,46.2
Gadsden,46.0,45.9,49.8,50.4,52.2,51.4,50.0,49.4,50.11,49.8
Gilchrist,43.9,43.4,41.5,44.9,41.5,43.8,44.2,47.0,43.13,44.6
Glades,43.7,41.5,43.6,48.8,51.2,52.3,51.5,49.8,40.99,39.3
Gulf,34.4,36.2,35.8,38.7,37.6,40.8,42.7,43.5,39.74,40.8
Hamilton,49.8,51.0,47.7,47.2,51.2,49.4,44.7,48.3,49.78,48.9
Hardee,54.7,57.0,55.3,57.9,60.3,60.0,58.0,59.4,55.56,53.3
Hendry,54.0,52.8,53.3,54.1,54.5,55.7,56.5,57.2,55.6,57.3
Hernando,36.0,36.8,37.6,38.4,39.7,40.4,39.2,38.3,35.46,34.0
Highlands,43.2,45.0,45.3,45.3,45.0,45.3,46.5,45.4,43.97,43.4
Hillsborough,33.7,35.0,35.8,36.8,37.6,37.6,37.0,36.3,34.25,33.1
Holmes,47.1,49.3,48.6,48.2,51.1,50.9,48.2,49.4,50.68,47.2
Indian River,32.2,34.2,35.8,37.5,37.4,38.5,37.9,36.6,34.22,32.7
Jackson,43.8,43.7,45.0,46.7,47.6,45.2,45.5,41.4,40.12,42.7
Jefferson,38.2,36.9,37.8,41.9,38.4,40.8,42.5,44.0,39.91,43.6
Lafayette,46.3,49.1,45.7,49.8,43.8,46.9,43.5,43.8,37.78,41.5
Lake,32.5,33.8,34.0,35.6,35.6,35.5,35.1,33.6,31.13,30.3
Lee,32.0,33.6,35.1,36.5,37.7,38.0,37.6,36.0,33.76,31.5
Leon,37.1,37.7,38.3,38.6,39.1,39.7,38.8,38.5,37.96,37.4
Levy,48.1,49.2,49.7,49.3,49.3,49.8,49.3,48.7,47.2,45.9
Liberty,52.0,47.2,50.1,43.3,42.3,42.6,43.6,42.4,43.08,38.1
Madison,49.1,51.9,56.4,58.3,55.0,52.6,51.1,48.7,42.87,43.1
Manatee,30.0,31.7,32.9,33.8,35.2,35.4,35.2,35.0,33.28,32.3
Marion,39.4,40.2,40.8,41.7,42.1,42.4,41.9,40.8,39.01,36.6
Martin,27.0,27.4,28.6,30.4,30.2,30.7,31.1,30.5,26.51,26.9
Monroe,27.3,28.6,29.9,31.9,31.7,33.1,33.7,33.2,29.9,28.6
Nassau,24.1,24.3,26.5,29.7,30.2,30.7,31.0,28.9,27.33,27.5
Okaloosa,28.3,29.0,29.2,30.0,30.6,31.3,30.9,30.3,28.75,26.8
Okeechobee,48.2,51.2,51.6,54.4,56.7,56.6,55.5,55.7,54.33,49.4
Orange,36.0,37.6,38.7,39.5,40.1,40.0,39.4,38.2,36.5,34.6
Osceola,42.0,43.5,45.7,46.5,47.6,46.1,45.1,43.0,40.3,38.4
Palm Beach,30.5,31.9,32.9,33.6,34.5,34.7,34.2,33.2,31.74,30.1
Pasco,32.5,34.4,34.8,35.7,36.3,36.4,36.2,35.6,34.46,33.1
Pinellas,30.6,32.1,33.0,33.4,33.8,33.9,33.5,32.3,31.51,31.0
Polk,39.6,40.6,41.8,42.6,43.2,43.2,42.3,41.3,39.71,38.0
Putnam,50.9,51.8,53.1,53.8,53.9,52.9,53.6,52.0,48.68,48.8
St. Johns,19.3,20.1,20.7,21.8,22.5,22.7,23.2,22.5,21.99,21.3
St. Lucie,35.3,37.6,38.6,39.9,40.2,40.3,39.6,38.5,36.38,35.1
Santa Rosa,25.4,26.5,28.2,28.5,29.7,29.8,28.4,28.0,28.41,28.4
Sarasota,24.3,25.5,27.0,27.8,28.4,29.8,30.8,30.0,28.5,27.4
Seminole,26.7,27.9,28.9,29.2,29.8,29.1,28.6,27.8,26.57,25.3
Sumter,23.2,23.9,24.7,25.7,26.6,28.6,28.5,29.1,29.8,30.4
Suwannee,40.8,42.8,45.3,47.3,48.9,48.3,51.1,47.4,44.96,43.4
Taylor,43.4,46.2,44.2,45.7,45.9,44.9,44.2,47.8,41.34,42.2
Union,42.4,44.0,46.6,47.9,49.4,44.9,43.8,42.0,41.17,43.5
Volusia,34.8,36.4,38.7,39.9,40.8,40.9,39.4,37.1,34.68,33.4
Wakulla,31.8,29.0,31.1,32.2,33.0,29.7,30.3,30.1,30.61,30.7
Walton,31.3,31.9,35.4,36.6,38.0,38.1,39.0,36.4,36.25,35.0
Washington,49.9,50.0,48.0,48.0,46.7,46.1,45.9,44.6,41.51,40.2
